CarId;Ratio;MatchedId;MatchedBrand;MatchedModel;MatchedGeneration;MatchedVersion
92983;0.8224852071;3313;Opel;Corsa;E(2014-2019);GSi(2018-2019)
92983;0.8224852071;3314;Opel;Corsa;E(2014-2019);Van(2015-2019)
44190;0.7142857143;4530;Toyota;Prius;III(2009-2020);Prius+(2013-2016)
44190;0.7041420118;4598;Toyota;Auris;II(2013-2018);Hatchback5d(2013-2015)
94044;0.63003663;664;BMW;i8;;CoupeFacelifting(2018-2021)
94044;0.6243291592;614;BMW;X3;G01(2017-teraz);SUVFacelifting(2021-teraz)
96352;0.6465696466;613;BMW;X2;F39(2017-2023);Crossover(2017-2023)
96352;0.604989605;603;BMW;X1;U11(2022-teraz);Crossover(2022-teraz)
96670;0.6153846154;420;BMW;iX3;;
96670;0.5429864253;621;BMW;X3;E83(2003-2010);
113773;0.6923076923;2482;Mercedes;GLA;I(2013-2019);Off-roader(2013-2017)
113773;0.6923076923;2729;Mercedes;Vito;W639(2003-2014);Furgon(2003-2010)
45086;0.7975708502;4609;Toyota;Avensis;III(2009-2018);Sedan(2009-2011)
45086;0.7975708502;4610;Toyota;Avensis;III(2009-2018);Wagon(2009-2011)
59696;0.8128898129;4460;Toyota;Corolla;XI(2013-2018);Sedan(2013-2016)
59696;0.6794871795;4459;Toyota;Corolla;XI(2013-2018);SedanFacelifting(2016-2018)
60367;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
60367;0.6366047745;834;Dacia;Duster;III(2024-teraz);
60370;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
60370;0.6366047745;834;Dacia;Duster;III(2024-teraz);
81826;0.8461538462;3868;Renault;Clio;IV(2012-2019);RS(2013-2016)
81826;0.7582417582;3867;Renault;Clio;IV(2012-2019);Societe(2013-2016)
96880;0.7252747253;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
96880;0.6060606061;834;Dacia;Duster;III(2024-teraz);
113805;0.8461538462;837;Dacia;Duster;I(2010-2017);Van(2016-2017)
113805;0.8461538462;839;Dacia;Duster;I(2010-2017);SUV(2010-2013)
51427;0.8461538462;3868;Renault;Clio;IV(2012-2019);RS(2013-2016)
51427;0.7582417582;3867;Renault;Clio;IV(2012-2019);Societe(2013-2016)
66886;0.8461538462;3868;Renault;Clio;IV(2012-2019);RS(2013-2016)
66886;0.7582417582;3867;Renault;Clio;IV(2012-2019);Societe(2013-2016)
75644;0.7948717949;3674;Peugeot;307;I(2001-2007);Kombi(2002-2005)
75644;0.7948717949;3675;Peugeot;307;I(2001-2007);Sedan(2001-2007)
87809;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
87809;0.6703296703;835;Dacia;Duster;II(2017-teraz);SUVFacelifting(2021-teraz)
114390;0.7830374753;3975;Renault;Trafic;III(2014-teraz);Furgon(2014-teraz)
114390;0.7435897436;3973;Renault;Trafic;III(2014-teraz);Platforma(2014-teraz)
112855;0.7904509284;834;Dacia;Duster;III(2024-teraz);
